date,service,region,usage_hours,cpu_utilizationpercent,cost_usd,cost_inr,idle_cost_inr,efficiency_score,year,month,month_name,quarter,day_of_week,week_number,service_category,utilization_category,cost_category
2025-10-02,ec2,us-west-2,23.9,81.9,3.44,286.036,51.77251599999998,286.327595127886,2025,10,October,4,Thursday,40,Compute,Very High (80-100%),High (₹200-300)
2025-11-02,ec2,us-west-2,24.7,85.0,3.51,291.8565,43.77847500000001,291.2390164344464,2025,11,November,4,Sunday,44,Compute,Very High (80-100%),High (₹200-300)
2025-12-02,s3,us-west-2,0.0,0.0,1.04,86.47600000000001,86.47600000000001,0.0,2025,12,December,4,Tuesday,49,Storage,,Low (₹0-100)
2025-01-03,ec2,eu-central-1,25.3,86.8,3.77,313.4755,41.378766000000006,276.8956425621779,2025,1,January,1,Friday,1,Compute,Very High (80-100%),Very High (₹300+)
2025-02-03,ec2,eu-central-1,24.8,84.7,3.71,308.48650000000004,47.19843450000001,274.566310033016,2025,2,February,1,Monday,6,Compute,Very High (80-100%),Very High (₹300+)
2025-03-03,s3,eu-central-1,0.0,0.0,1.24,103.10600000000001,103.10600000000001,0.0,2025,3,March,1,Monday,10,Storage,,Medium (₹100-200)
2025-04-03,rds,eu-central-1,13.9,52.5,3.55,295.1825,140.21168749999998,177.85607209099456,2025,4,April,2,Thursday,14,Database,Medium (40-60%),High (₹200-300)
2025-05-03,lambda,eu-central-1,0.0,0.0,0.35,29.1025,29.1025,0.0,2025,5,May,2,Saturday,18,Serverless,,Low (₹0-100)
2025-06-03,ec2,eu-central-1,25.2,86.5,3.76,312.644,42.20694,276.672509307711,2025,6,June,2,Tuesday,23,Compute,Very High (80-100%),Very High (₹300+)
2025-07-03,s3,eu-central-1,0.0,0.0,1.27,105.60050000000001,105.60050000000001,0.0,2025,7,July,3,Thursday,27,Storage,,Medium (₹100-200)
2025-08-03,rds,eu-central-1,13.6,49.5,3.51,291.8565,147.3875325,169.60389780594232,2025,8,August,3,Sunday,31,Database,Medium (40-60%),High (₹200-300)
2025-09-03,ec2,eu-central-1,24.0,82.7,3.64,302.66600000000005,52.36121799999999,273.23848730944337,2025,9,September,3,Wednesday,36,Compute,Very High (80-100%),Very High (₹300+)
2025-10-03,ec2,eu-central-1,24.6,84.3,3.68,305.992,48.04074400000001,275.4973986248006,2025,10,October,4,Friday,40,Compute,Very High (80-100%),Very High (₹300+)
2025-11-03,ec2,eu-central-1,25.2,86.9,3.76,312.644,40.956363999999965,277.95191975537676,2025,11,November,4,Monday,45,Compute,Very High (80-100%),Very High (₹300+)
2025-12-03,s3,eu-central-1,0.0,0.0,1.2,99.78,99.78,0.0,2025,12,December,4,Wednesday,49,Storage,,Low (₹0-100)
2025-01-04,ec2,ap-south-1,23.9,83.2,3.46,287.699,48.33343199999998,289.1911337891338,2025,1,January,1,Saturday,1,Compute,Very High (80-100%),High (₹200-300)
2025-02-04,ec2,ap-south-1,22.9,80.0,3.36,279.384,55.87679999999999,286.34424304899346,2025,2,February,1,Tuesday,6,Compute,High (60-80%),High (₹200-300)
2025-03-04,s3,ap-south-1,0.0,0.0,0.98,81.48700000000001,81.48700000000001,0.0,2025,3,March,1,Tuesday,10,Storage,,Low (₹0-100)
2025-04-04,rds,ap-south-1,12.5,48.4,3.26,271.069,139.87160400000002,178.55232431594905,2025,4,April,2,Friday,14,Database,Medium (40-60%),High (₹200-300)
2025-05-04,lambda,ap-south-1,0.0,0.0,0.26,21.619000000000003,21.619000000000003,0.0,2025,5,May,2,Sunday,18,Serverless,,Low (₹0-100)
2025-06-04,ec2,ap-south-1,23.5,81.8,3.42,284.373,51.75588600000001,287.6503746839538,2025,6,June,2,Wednesday,23,Compute,Very High (80-100%),High (₹200-300)
2025-07-04,s3,ap-south-1,0.0,0.0,1.02,84.813,84.813,0.0,2025,7,July,3,Friday,27,Storage,,Low (₹0-100)
2025-08-04,rds,ap-south-1,12.1,45.7,3.22,267.74300000000005,145.38444900000002,170.68606835659565,2025,8,August,3,Monday,32,Database,Medium (40-60%),High (₹200-300)
2025-09-04,ec2,ap-south-1,22.4,78.7,3.33,276.8895,58.97746349999999,284.2289071994424,2025,9,September,3,Thursday,36,Compute,High (60-80%),High (₹200-300)
2025-10-04,ec2,ap-south-1,23.2,80.7,3.39,281.87850000000003,54.40255049999999,286.2935626519937,2025,10,October,4,Saturday,40,Compute,Very High (80-100%),High (₹200-300)
2025-11-04,ec2,ap-south-1,24.0,83.5,3.47,288.5305,47.60753250000001,289.3974813754525,2025,11,November,4,Tuesday,45,Compute,Very High (80-100%),High (₹200-300)
2025-12-04,s3,ap-south-1,0.0,0.0,0.97,80.6555,80.6555,0.0,2025,12,December,4,Thursday,49,Storage,,Low (₹0-100)
2025-01-05,ec2,us-west-2,25.1,86.3,3.55,295.1825,40.440002500000006,292.36150517053005,2025,1,January,1,Sunday,1,Compute,Very High (80-100%),High (₹200-300)
2025-02-05,ec2,us-west-2,24.3,83.7,3.47,288.5305,47.03047149999998,290.09064899551345,2025,2,February,1,Wednesday,6,Compute,Very High (80-100%),High (₹200-300)
2025-03-05,s3,us-west-2,0.0,0.0,1.09,90.63350000000001,90.63350000000001,0.0,2025,3,March,1,Wednesday,10,Storage,,Low (₹0-100)
2025-04-05,rds,us-west-2,13.2,50.7,3.35,278.5525,137.3263825,182.0123675070229,2025,4,April,2,Saturday,14,Database,Medium (40-60%),High (₹200-300)
2025-05-05,lambda,us-west-2,0.0,0.0,0.28,23.282000000000004,23.282000000000004,0.0,2025,5,May,2,Monday,19,Serverless,,Low (₹0-100)
2025-06-05,ecs,us-west-2,15.6,72.8,2.96,246.12400000000002,66.94572800000002,295.7858640360143,2025,6,June,2,Thursday,23,Compute,High (60-80%),High (₹200-300)
2025-07-05,s3,us-west-2,0.0,0.0,1.12,93.12800000000001,93.12800000000001,0.0,2025,7,July,3,Saturday,27,Storage,,Low (₹0-100)
2025-08-05,rds,us-west-2,12.9,48.1,3.31,275.22650000000004,142.8425535,174.7651479781198,2025,8,August,3,Tuesday,32,Database,Medium (40-60%),High (₹200-300)
2025-09-05,ec2,us-west-2,23.5,81.6,3.43,285.20450000000005,52.477628000000024,286.11049264650444,2025,9,September,3,Friday,36,Compute,Very High (80-100%),High (₹200-300)
2025-10-05,ec2,us-west-2,24.1,82.5,3.46,287.699,50.34732500000001,286.7580353077348,2025,10,October,4,Sunday,40,Compute,Very High (80-100%),High (₹200-300)
2025-11-05,ec2,us-west-2,24.9,85.6,3.53,293.5195,42.266808000000005,291.6330942237228,2025,11,November,4,Wednesday,45,Compute,Very High (80-100%),High (₹200-300)
2025-12-05,s3,us-west-2,0.0,0.0,1.06,88.13900000000001,88.13900000000001,0.0,2025,12,December,4,Friday,49,Storage,,Low (₹0-100)
2025-01-06,ec2,eu-central-1,25.5,87.3,3.79,315.1385,40.0225895,277.021055821488,2025,1,January,1,Monday,2,Compute,Very High (80-100%),Very High (₹300+)
2025-02-06,ec2,eu-central-1,25.0,85.2,3.73,310.14950000000005,45.90212600000001,274.7062303824446,2025,2,February,1,Thursday,6,Compute,Very High (80-100%),Very High (₹300+)
2025-03-06,s3,eu-central-1,0.0,0.0,1.26,104.769,104.769,0.0,2025,3,March,1,Thursday,10,Storage,,Medium (₹100-200)
2025-04-06,rds,eu-central-1,14.1,53.1,3.57,296.8455,139.2205395,178.88093301060653,2025,4,April,2,Sunday,14,Database,Medium (40-60%),High (₹200-300)
2025-05-06,lambda,eu-central-1,0.0,0.0,0.36,29.934,29.934,0.0,2025,5,May,2,Tuesday,19,Serverless,,Low (₹0-100)
2025-06-06,ec2,eu-central-1,25.4,87.0,3.78,314.307,40.859910000000006,276.7994349473604,2025,6,June,2,Friday,23,Compute,Very High (80-100%),Very High (₹300+)
2025-07-06,s3,eu-central-1,0.0,0.0,1.29,107.26350000000001,107.26350000000001,0.0,2025,7,July,3,Sunday,27,Storage,,Medium (₹100-200)
2025-08-06,rds,eu-central-1,13.8,50.1,3.53,293.5195,146.4662305,170.68712640897795,2025,8,August,3,Wednesday,32,Database,Medium (40-60%),High (₹200-300)
2025-09-06,ec2,eu-central-1,24.2,83.3,3.66,304.329,50.82294300000001,273.71693134732476,2025,9,September,3,Saturday,36,Compute,Very High (80-100%),Very High (₹300+)
2025-10-06,ec2,eu-central-1,24.8,84.9,3.7,307.65500000000003,46.45590499999998,275.95845996327057,2025,10,October,4,Monday,41,Compute,Very High (80-100%),Very High (₹300+)
2025-11-06,ec2,eu-central-1,25.4,87.5,3.78,314.307,39.288375,278.39023629763255,2025,11,November,4,Thursday,45,Compute,Very High (80-100%),Very High (₹300+)
2025-12-06,s3,eu-central-1,0.0,0.0,1.22,101.443,101.443,0.0,2025,12,December,4,Saturday,49,Storage,,Medium (₹100-200)
2025-01-07,ec2,ap-south-1,24.1,83.7,3.48,289.362,47.16600599999998,289.2570551765608,2025,1,January,1,Tuesday,2,Compute,Very High (80-100%),High (₹200-300)
2025-02-07,ec2,ap-south-1,23.1,80.6,3.38,281.047,54.523118000000025,286.78477265368423,2025,2,February,1,Friday,6,Compute,Very High (80-100%),High (₹200-300)
2025-03-07,s3,ap-south-1,0.0,0.0,0.99,82.3185,82.3185,0.0,2025,3,March,1,Friday,10,Storage,,Low (₹0-100)
2025-04-07,rds,ap-south-1,12.7,49.0,3.28,272.732,139.09332,179.66355249842334,2025,4,April,2,Monday,15,Database,Medium (40-60%),High (₹200-300)
2025-05-07,lambda,ap-south-1,0.0,0.0,0.27,22.4505,22.4505,0.0,2025,5,May,2,Wednesday,19,Serverless,,Low (₹0-100)
2025-06-07,ec2,ap-south-1,23.7,82.3,3.44,286.036,50.62837200000001,287.7260205009159,2025,6,June,2,Saturday,23,Compute,Very High (80-100%),High (₹200-300)
2025-07-07,s3,ap-south-1,0.0,0.0,1.03,85.64450000000001,85.64450000000001,0.0,2025,7,July,3,Monday,28,Storage,,Low (₹0-100)
2025-08-07,rds,ap-south-1,12.3,46.3,3.24,269.40600000000006,144.67102200000005,171.8595725410718,2025,8,August,3,Thursday,32,Database,Medium (40-60%),High (₹200-300)
2025-09-07,ec2,ap-south-1,22.6,79.3,3.35,278.5525,57.66036750000002,284.6860107161128,2025,9,September,3,Sunday,36,Compute,High (60-80%),High (₹200-300)
2025-10-07,ec2,ap-south-1,23.4,81.2,3.41,283.54150000000004,53.30580199999999,286.37783181650656,2025,10,October,4,Tuesday,41,Compute,Very High (80-100%),High (₹200-300)
2025-11-07,ec2,ap-south-1,24.2,84.0,3.49,290.19350000000003,46.43096000000001,289.46203136872464,2025,11,November,4,Friday,45,Compute,Very High (80-100%),High (₹200-300)
2025-12-07,s3,ap-south-1,0.0,0.0,0.98,81.48700000000001,81.48700000000001,0.0,2025,12,December,4,Sunday,49,Storage,,Low (₹0-100)
2025-01-08,ec2,us-west-2,25.3,86.8,3.57,296.8455,39.183606000000005,292.408003490031,2025,1,January,1,Wednesday,2,Compute,Very High (80-100%),High (₹200-300)
2025-02-08,ec2,us-west-2,24.5,84.3,3.49,290.19350000000003,45.56037950000001,290.4958243378987,2025,2,February,1,Saturday,6,Compute,Very High (80-100%),High (₹200-300)
2025-03-08,s3,us-west-2,0.0,0.0,1.11,92.29650000000001,92.29650000000001,0.0,2025,3,March,1,Saturday,10,Storage,,Low (₹0-100)
2025-04-08,rds,us-west-2,13.4,51.3,3.37,280.2155,136.46494850000002,183.07338459150188,2025,4,April,2,Tuesday,15,Database,Medium (40-60%),High (₹200-300)
2025-05-08,lambda,us-west-2,0.0,0.0,0.29,24.1135,24.1135,0.0,2025,5,May,2,Thursday,19,Serverless,,Low (₹0-100)
2025-06-08,ecs,us-west-2,15.8,73.5,2.98,247.787,65.663555,296.62573097055133,2025,6,June,2,Sunday,23,Compute,High (60-80%),High (₹200-300)
2025-07-08,s3,us-west-2,0.0,0.0,1.14,94.791,94.791,0.0,2025,7,July,3,Tuesday,28,Storage,,Low (₹0-100)
2025-08-08,rds,us-west-2,13.1,48.7,3.33,276.8895,142.04431349999996,175.88243685657997,2025,8,August,3,Friday,32,Database,Medium (40-60%),High (₹200-300)
2025-09-08,ec2,us-west-2,23.7,82.2,3.45,286.8675,51.06241499999998,286.54343904415805,2025,9,September,3,Monday,37,Compute,Very High (80-100%),High (₹200-300)
2025-10-08,ec2,us-west-2,24.3,83.1,3.48,289.362,48.90217800000001,287.18352789930947,2025,10,October,4,Wednesday,41,Compute,Very High (80-100%),High (₹200-300)
2025-11-08,ec2,us-west-2,25.1,86.2,3.55,295.1825,40.735185,292.0227316998806,2025,11,November,4,Saturday,45,Compute,Very High (80-100%),High (₹200-300)
2025-12-08,s3,us-west-2,0.0,0.0,1.08,89.802,89.802,0.0,2025,12,December,4,Monday,50,Storage,,Low (₹0-100)
2025-01-09,ec2,eu-central-1,25.7,87.9,3.81,316.80150000000003,38.3329815,277.4608074772373,2025,1,January,1,Thursday,2,Compute,Very High (80-100%),Very High (₹300+)
2025-02-09,ec2,eu-central-1,25.2,85.8,3.75,311.8125,44.277375000000006,275.16536380036075,2025,2,February,1,Sunday,6,Compute,Very High (80-100%),Very High (₹300+)
2025-03-09,s3,eu-central-1,0.0,0.0,1.28,106.43200000000002,106.43200000000002,0.0,2025,3,March,1,Sunday,10,Storage,,Medium (₹100-200)
2025-04-09,rds,eu-central-1,14.3,53.7,3.59,298.5085,138.2094355,179.89437486704733,2025,4,April,2,Wednesday,15,Database,Medium (40-60%),High (₹200-300)
2025-05-09,lambda,eu-central-1,0.0,0.0,0.37,30.765500000000003,30.765500000000003,0.0,2025,5,May,2,Friday,19,Serverless,,Low (₹0-100)
2025-06-09,ec2,eu-central-1,25.6,87.6,3.8,315.97,39.18028000000004,277.2415102699623,2025,6,June,2,Monday,24,Compute,Very High (80-100%),Very High (₹300+)
2025-07-09,s3,eu-central-1,0.0,0.0,1.31,108.92650000000002,108.92650000000002,0.0,2025,7,July,3,Wednesday,28,Storage,,Medium (₹100-200)
2025-08-09,rds,eu-central-1,14.0,50.7,3.55,295.1825,145.5249725,171.75814961930334,2025,8,August,3,Saturday,32,Database,Medium (40-60%),High (₹200-300)
2025-09-09,ec2,eu-central-1,24.4,83.9,3.68,305.992,49.26471199999998,274.1901749065335,2025,9,September,3,Tuesday,37,Compute,Very High (80-100%),Very High (₹300+)
2025-10-09,ec2,eu-central-1,25.0,85.5,3.72,309.31800000000004,44.85111000000001,276.41456365293965,2025,10,October,4,Thursday,41,Compute,Very High (80-100%),Very High (₹300+)
2025-11-09,ec2,eu-central-1,25.6,88.1,3.8,315.97,37.60043000000004,278.82393898154885,2025,11,November,4,Sunday,45,Compute,Very High (80-100%),Very High (₹300+)
2025-12-09,s3,eu-central-1,0.0,0.0,1.24,103.10600000000001,103.10600000000001,0.0,2025,12,December,4,Tuesday,50,Storage,,Medium (₹100-200)
2025-01-10,ec2,ap-south-1,24.3,84.3,3.5,291.02500000000003,45.690925000000014,289.6658362683618,2025,1,January,1,Friday,2,Compute,Very High (80-100%),High (₹200-300)
2025-02-10,ec2,ap-south-1,23.3,81.2,3.4,282.71000000000004,53.14947999999999,287.22011955714333,2025,2,February,1,Monday,7,Compute,Very High (80-100%),High (₹200-300)
2025-03-10,s3,ap-south-1,0.0,0.0,1.0,83.15,83.15,0.0,2025,3,March,1,Monday,11,Storage,,Low (₹0-100)
2025-04-10,rds,ap-south-1,12.9,49.6,3.3,274.395,138.29507999999998,180.7613112483828,2025,4,April,2,Thursday,15,Database,Medium (40-60%),High (₹200-300)
2025-05-10,lambda,ap-south-1,0.0,0.0,0.28,23.282000000000004,23.282000000000004,0.0,2025,5,May,2,Saturday,19,Serverless,,Low (₹0-100)
2025-06-10,ec2,ap-south-1,23.9,82.9,3.46,287.699,49.196528999999984,288.1483772971057,2025,6,June,2,Tuesday,24,Compute,Very High (80-100%),High (₹200-300)
2025-07-10,s3,ap-south-1,0.0,0.0,1.04,86.47600000000001,86.47600000000001,0.0,2025,7,July,3,Thursday,28,Storage,,Low (₹0-100)
2025-08-10,rds,ap-south-1,12.5,46.9,3.26,271.069,143.93763900000002,173.01867790119857,2025,8,August,3,Sunday,32,Database,Medium (40-60%),High (₹200-300)
2025-09-10,ec2,ap-south-1,22.8,79.9,3.37,280.2155,56.32331549999999,285.1376886717544,2025,9,September,3,Wednesday,37,Compute,High (60-80%),High (₹200-300)
2025-10-10,ec2,ap-south-1,23.6,81.8,3.43,285.20450000000005,51.907219000000026,286.8117438539714,2025,10,October,4,Friday,41,Compute,Very High (80-100%),High (₹200-300)
2025-11-10,ec2,ap-south-1,24.4,84.6,3.51,291.8565,44.945901000000006,289.8684798865196,2025,11,November,4,Monday,46,Compute,Very High (80-100%),High (₹200-300)
2025-12-10,s3,ap-south-1,0.0,0.0,0.99,82.3185,82.3185,0.0,2025,12,December,4,Wednesday,50,Storage,,Low (₹0-100)
2025-12-10,ec2,ap-south-1,22.2,76.8,3.29,273.56350000000003,63.466732,280.739206802077,2025,12,December,4,Wednesday,50,Compute,High (60-80%),High (₹200-300)
2025-01-11,ec2,us-west-2,25.5,87.4,3.59,298.5085,37.61207099999997,292.7889825582856,2025,1,January,1,Saturday,2,Compute,Very High (80-100%),High (₹200-300)
2025-02-11,ec2,us-west-2,24.7,84.9,3.51,291.8565,44.07033149999997,290.89638229746475,2025,2,February,1,Tuesday,7,Compute,Very High (80-100%),High (₹200-300)
2025-03-11,s3,us-west-2,0.0,0.0,1.13,93.95949999999999,93.95949999999999,0.0,2025,3,March,1,Tuesday,11,Storage,,Low (₹0-100)
2025-04-11,rds,us-west-2,13.6,51.9,3.39,281.87850000000003,135.5835585,184.12188230035278,2025,4,April,2,Friday,15,Database,Medium (40-60%),High (₹200-300)
2025-05-11,lambda,us-west-2,0.0,0.0,0.3,24.945,24.945,0.0,2025,5,May,2,Sunday,19,Serverless,,Low (₹0-100)
2025-06-11,ecs,us-west-2,16.0,74.2,3.0,249.45000000000002,64.35810000000001,297.45439967929445,2025,6,June,2,Wednesday,24,Compute,High (60-80%),High (₹200-300)
2025-07-11,s3,us-west-2,0.0,0.0,1.16,96.454,96.454,0.0,2025,7,July,3,Friday,28,Storage,,Low (₹0-100)
2025-08-11,rds,us-west-2,13.3,49.3,3.35,278.5525,141.22611750000002,176.9863849723122,2025,8,August,3,Monday,33,Database,Medium (40-60%),High (₹200-300)
2025-09-11,ec2,us-west-2,23.9,82.8,3.47,288.5305,49.627246000000014,286.9713947052391,2025,9,September,3,Thursday,37,Compute,Very High (80-100%),High (₹200-300)
2025-10-11,ec2,us-west-2,24.5,83.7,3.5,291.02500000000003,47.437074999999986,287.604157718409,2025,10,October,4,Saturday,41,Compute,Very High (80-100%),High (₹200-300)
2025-11-11,ec2,us-west-2,25.3,86.8,3.57,296.8455,39.183606000000005,292.408003490031,2025,11,November,4,Tuesday,46,Compute,Very High (80-100%),High (₹200-300)
2025-12-11,s3,us-west-2,0.0,0.0,1.1,91.46500000000002,91.46500000000002,0.0,2025,12,December,4,Thursday,50,Storage,,Low (₹0-100)
2025-01-12,ec2,eu-central-1,25.9,88.5,3.83,318.46450000000004,36.6234175,277.8959664263991,2025,1,January,1,Sunday,2,Compute,Very High (80-100%),Very High (₹300+)
2025-02-12,ec2,eu-central-1,25.4,86.4,3.77,313.4755,42.63266799999997,275.6196257761771,2025,2,February,1,Wednesday,7,Compute,Very High (80-100%),Very High (₹300+)
2025-03-12,s3,eu-central-1,0.0,0.0,1.3,108.09500000000001,108.09500000000001,0.0,2025,3,March,1,Wednesday,11,Storage,,Medium (₹100-200)
2025-04-12,rds,eu-central-1,14.5,54.3,3.61,300.17150000000004,137.17837550000004,180.89658745084057,2025,4,April,2,Saturday,15,Database,Medium (40-60%),Very High (₹300+)
